LOCATION;STATION-1;STATION-2;STATION-3;STATION-4
BELEP;;;;
BOULOUPARIS;BOULOUPARIS;LA OUENGHI;NASSIRAH;
BOURAIL;BOURAIL;NESSADIOU;POE;
CANALA;CANALA;;;
DUMBEA;DUMBEA;MTGNE SOURCES;;
FARINO;LA FOA;;;
HIENGHENE;HIENGHENE GEND.;;;
HOUAILOU;HOUAILOU P.;COL ROUSSETTES;;
ILE DES PINS;MOUE;;;
KAALA GOMEN;GOMEN;OUACO;;
KONE;KONE;;;
KOUAOUA;CANALA;HOUAILOU P.;;
KOUMAC;KOUMAC;;;
LA FOA;LA FOA;POCQUEREUX;;
LIFOU;CHEPENEHE;OUANAHAM;MOU;HAPETRA
MARE;LA ROCHE;TADINE;;
MOINDOU;TIARET;;;
MONT DORE;BOULARI;LA COULEE;PLUM;
NOUMEA;NOUMEA;MAGENTA;;
OUEGOA;POUEBO;;;
OUVEA;OULOUP;MOULI;;
PAITA;PAITA;LA TONTOUTA;PORT LAGUERRE;
POINDIMIE;POINDIMIE;;;
PONERIHOUEN;PONERIHOUEN;AOUPINIE;;
POUEBO;POUEBO;GALARINO;;
POUEMBOUT;KOPETO;;;
POUM;POUM;;;
POYA;POYA;NEPOUI;;
SARRAMEA;LA FOA;;;
THIO;BORINDI;;;
TOUHO;TOUHO AEROD.;TIWAKA;;
VOH;VOH;;;
YATE;YATE MRIE;OUINNE;;
